annﻠe,percentage,number of companies
1974,0.0149,7
1975,0.0175,7
1976,0.0211,14
1977,0.0149,14
1978,0.0221,11
1979,0.0379,22
1980,0.029,15
1981,0.049,25
1982,0.0337,22
1983,0.0655,40
1984,0.1022,70
1985,0.1577,105
1986,0.2052,143
1987,0.1679,134
1988,0.1767,168
1989,0.2067,223
1990,0.1767,231
1991,0.1677,222
1992,0.1088,83
1993,0.1559,274
1994,0.143,253
1995,0.1269,258
1996,0.1249,253
1997,0.1693,391
1998,0.1527,456
1999,0.1307,455
2000,0.1663,358
2001,0.0983,357
2002,0.1101,520
2003,0.0912,343
2004,0.1164,413
2005,0.0985,315
2006,0.1014,675
2007,0.1023,569
2008,0.082,630
2009,0.0734,502
2010,0.0716,481
2011,0.0689,516
2012,0.0571,415
2013,0.0506,389
2014,0.042,353
2015,0.034,246
2016,0.0322,164
